measure 0,-,-,-,-,-,-
clef.treble,0,1,clef.treble,0,0,False
accid.flat.pos4,0,2,accid.flat.pos4,0,2,False
accid.flat.pos0,0,2,accid.flat.pos0,0,2,False
accid.flat.pos3,0,2,accid.flat.pos3,0,2,False
timeSig.4/4,0,3,timeSig.3/4,0,3,True
dynamics.p,0,4,16th.start.down.pos7,0,4,True
>,0,5,16th.continue.down.pos9,0,5,True
half.noBeam.down.pos7,0,5,16th.continue.down.pos8,0,6,True
quarter.noBeam.down.pos4,0,6,16th.continue.down.pos7,0,7,True
duration.dot.pos4,0,6,16th.continue.down.pos6,0,8,True
eighth.noBeam.up.pos3,0,7,16th.stop.down.pos5,0,9,True
barline.regular,0,7,16th.start.up.pos4,0,10,True
clef.treble,0,2,16th.continue.up.pos5,0,11,True
accid.flat.pos4,0,3,16th.continue.up.pos4,0,12,True
accid.flat.pos0,0,3,16th.continue.up.pos3,0,13,True
accid.flat.pos3,0,3,16th.continue.up.pos2,0,14,True
timeSig.4/4,0,4,16th.stop.up.pos1,0,15,True
dynamics.p,0,5,barline.regular,0,15,False
>,0,6,clef.treble,0,0,False
half.noBeam.up.pos0,0,6,accid.flat.pos4,0,1,False
duration.dot.pos0,0,6,accid.flat.pos0,0,1,False
quarter.noBeam.up.pos-3,0,7,accid.flat.pos3,0,1,False
barline.regular,0,7,timeSig.3/4,0,2,True
clef.alto,0,2,16th.start.down.pos7,0,3,True
accid.flat.pos3,0,3,16th.continue.down.pos9,0,4,True
accid.flat.pos-1,0,3,16th.continue.down.pos8,0,5,True
accid.flat.pos2,0,3,16th.continue.down.pos7,0,6,True
timeSig.4/4,0,4,16th.continue.down.pos6,0,7,True
dynamics.p,0,5,16th.stop.down.pos5,0,8,True
>,0,6,16th.start.up.pos4,0,9,True
whole.noBeam.up.pos1,0,6,16th.continue.up.pos5,0,10,True
barline.regular,0,6,16th.continue.up.pos4,0,11,True
clef.bass,0,2,16th.continue.up.pos3,0,12,True
accid.flat.pos2,0,3,16th.continue.up.pos2,0,13,True
accid.flat.pos-2,0,3,16th.stop.up.pos1,0,14,True
accid.flat.pos1,0,3,barline.regular,0,14,False
timeSig.4/4,0,4,clef.alto,0,0,False
dynamics.p,0,5,accid.flat.pos3,0,1,False
>,0,6,accid.flat.pos-1,0,1,False
half.noBeam.up.pos3,0,6,accid.flat.pos2,0,1,False
half.noBeam.up.pos0,0,7,timeSig.3/4,0,2,True
barline.regular,0,7,16th.start.down.pos6,0,3,True
barline.return-to-top,0,7,16th.continue.down.pos8,0,4,True
-,-,-,16th.continue.down.pos7,0,5,True
-,-,-,16th.continue.down.pos6,0,6,True
-,-,-,16th.continue.down.pos5,0,7,True
-,-,-,16th.stop.down.pos4,0,8,True
-,-,-,16th.start.up.pos3,0,9,True
-,-,-,16th.continue.up.pos4,0,10,True
-,-,-,16th.continue.up.pos3,0,11,True
-,-,-,16th.continue.up.pos2,0,12,True
-,-,-,16th.continue.up.pos1,0,13,True
-,-,-,16th.stop.up.pos0,0,14,True
-,-,-,barline.regular,0,14,False
-,-,-,clef.bass,0,0,False
-,-,-,accid.flat.pos2,0,1,False
-,-,-,accid.flat.pos-2,0,1,False
-,-,-,accid.flat.pos1,0,1,False
-,-,-,timeSig.3/4,0,2,True
-,-,-,16th.start.down.pos12,0,3,True
-,-,-,16th.continue.down.pos14,0,4,True
-,-,-,16th.continue.down.pos13,0,5,True
-,-,-,16th.continue.down.pos12,0,6,True
-,-,-,16th.continue.down.pos11,0,7,True
-,-,-,16th.stop.down.pos10,0,8,True
-,-,-,16th.start.down.pos9,0,9,True
-,-,-,16th.continue.down.pos10,0,10,True
-,-,-,16th.continue.down.pos9,0,11,True
-,-,-,16th.continue.down.pos8,0,12,True
-,-,-,16th.continue.down.pos7,0,13,True
-,-,-,16th.stop.down.pos6,0,14,True
-,-,-,barline.regular,0,14,True
-,-,-,barline.return-to-top,0,14,True
measure 1,-,-,-,-,-,-
quarter.noBeam.up.pos2,1,0,16th.start.up.pos0,1,0,True
quarter.noBeam.up.pos1,1,1,16th.continue.up.pos2,1,1,True
rest.quarter,1,2,16th.continue.up.pos1,1,2,True
quarter.noBeam.down.pos5,1,3,16th.continue.up.pos0,1,3,True
>,1,3,16th.continue.up.pos-1,1,4,True
articulation.accent.pos4,1,3,16th.stop.up.pos-2,1,5,True
barline.regular,1,3,16th.start.up.pos-3,1,6,True
rest.quarter,1,0,16th.continue.up.pos-5,1,7,True
quarter.noBeam.up.pos-2,1,1,16th.continue.up.pos-4,1,8,True
quarter.noBeam.up.pos-2,1,2,16th.continue.up.pos-3,1,9,True
rest.quarter,1,3,16th.continue.up.pos-2,1,10,True
barline.regular,1,3,16th.stop.up.pos-1,1,11,True
rest.quarter,1,0,barline.regular,1,11,True
quarter.noBeam.up.pos-1,1,1,16th.start.up.pos0,1,0,True
quarter.noBeam.up.pos-1,1,2,16th.continue.up.pos2,1,1,True
rest.quarter,1,3,16th.continue.up.pos1,1,2,True
barline.regular,1,3,16th.continue.up.pos0,1,3,True
rest.quarter,1,0,16th.continue.up.pos-1,1,4,True
quarter.noBeam.up.pos1,1,1,16th.stop.up.pos-2,1,5,True
quarter.noBeam.up.pos1,1,2,16th.start.up.pos-3,1,6,True
rest.quarter,1,3,16th.continue.up.pos-5,1,7,True
barline.regular,1,3,16th.continue.up.pos-4,1,8,True
barline.return-to-top,1,3,16th.continue.up.pos-3,1,9,True
-,-,-,16th.continue.up.pos-2,1,10,True
-,-,-,16th.stop.up.pos-1,1,11,True
-,-,-,barline.regular,1,11,True
-,-,-,16th.start.up.pos-1,1,0,True
-,-,-,16th.continue.up.pos8,1,1,True
-,-,-,16th.continue.up.pos7,1,2,True
-,-,-,16th.continue.up.pos6,1,3,True
-,-,-,16th.continue.up.pos5,1,4,True
-,-,-,16th.stop.up.pos4,1,5,True
-,-,-,16th.start.up.pos3,1,6,True
-,-,-,16th.continue.up.pos1,1,7,True
-,-,-,16th.continue.up.pos2,1,8,True
-,-,-,16th.continue.up.pos3,1,9,True
-,-,-,16th.continue.up.pos4,1,10,True
-,-,-,16th.stop.up.pos5,1,11,True
-,-,-,barline.regular,1,11,True
-,-,-,16th.start.down.pos5,1,0,True
-,-,-,16th.continue.down.pos7,1,1,True
-,-,-,16th.continue.down.pos6,1,2,True
-,-,-,16th.continue.down.pos5,1,3,True
-,-,-,16th.continue.down.pos4,1,4,True
-,-,-,16th.stop.down.pos3,1,5,True
-,-,-,16th.start.up.pos2,1,6,True
-,-,-,16th.continue.up.pos0,1,7,True
-,-,-,16th.continue.up.pos1,1,8,True
-,-,-,16th.continue.up.pos2,1,9,True
-,-,-,16th.continue.up.pos3,1,10,True
-,-,-,16th.stop.up.pos4,1,11,True
-,-,-,barline.regular,1,11,True
-,-,-,barline.return-to-top,1,11,True
measure 2,-,-,-,-,-,-
quarter.noBeam.up.pos2,2,0,16th.start.up.pos0,2,0,True
quarter.noBeam.up.pos1,2,1,16th.continue.up.pos2,2,1,True
rest.half,2,2,16th.continue.up.pos1,2,2,True
barline.regular,2,2,16th.continue.up.pos0,2,3,True
rest.quarter,2,0,16th.continue.up.pos-1,2,4,True
quarter.noBeam.up.pos-2,2,1,16th.stop.up.pos-2,2,5,True
quarter.noBeam.up.pos-2,2,2,16th.start.up.pos-3,2,6,True
rest.quarter,2,3,16th.continue.up.pos-5,2,7,True
barline.regular,2,3,16th.continue.up.pos-4,2,8,True
rest.quarter,2,0,16th.continue.up.pos-3,2,9,True
quarter.noBeam.up.pos-2,2,1,16th.continue.up.pos-2,2,10,True
quarter.noBeam.up.pos-2,2,2,16th.stop.up.pos-1,2,11,True
rest.quarter,2,3,barline.regular,2,11,True
barline.regular,2,3,16th.start.up.pos0,2,0,True
rest.quarter,2,0,16th.continue.up.pos2,2,1,True
quarter.noBeam.up.pos1,2,1,16th.continue.up.pos1,2,2,True
quarter.noBeam.up.pos1,2,2,16th.continue.up.pos0,2,3,True
rest.quarter,2,3,16th.continue.up.pos-1,2,4,True
barline.regular,2,3,16th.stop.up.pos-2,2,5,True
barline.return-to-top,2,3,16th.start.up.pos-3,2,6,True
-,-,-,16th.continue.up.pos-5,2,7,True
-,-,-,16th.continue.up.pos-4,2,8,True
-,-,-,16th.continue.up.pos-3,2,9,True
-,-,-,16th.continue.up.pos-2,2,10,True
-,-,-,16th.stop.up.pos-1,2,11,True
-,-,-,barline.regular,2,11,True
-,-,-,16th.start.down.pos6,2,0,True
-,-,-,16th.continue.down.pos8,2,1,True
-,-,-,16th.continue.down.pos7,2,2,True
-,-,-,16th.continue.down.pos6,2,3,True
-,-,-,16th.continue.down.pos5,2,4,True
-,-,-,16th.stop.down.pos4,2,5,True
-,-,-,16th.start.up.pos3,2,6,True
-,-,-,16th.continue.up.pos1,2,7,True
-,-,-,16th.continue.up.pos2,2,8,True
-,-,-,16th.continue.up.pos3,2,9,True
-,-,-,16th.continue.up.pos4,2,10,True
-,-,-,16th.stop.up.pos5,2,11,True
-,-,-,barline.regular,2,11,True
-,-,-,16th.start.down.pos5,2,0,True
-,-,-,16th.continue.down.pos7,2,1,True
-,-,-,16th.continue.down.pos6,2,2,True
-,-,-,16th.continue.down.pos5,2,3,True
-,-,-,16th.continue.down.pos4,2,4,True
-,-,-,16th.stop.down.pos3,2,5,True
-,-,-,16th.start.up.pos2,2,6,True
-,-,-,16th.continue.up.pos0,2,7,True
-,-,-,16th.continue.up.pos1,2,8,True
-,-,-,16th.continue.up.pos2,2,9,True
-,-,-,16th.continue.up.pos3,2,10,True
-,-,-,16th.stop.up.pos4,2,11,True
-,-,-,barline.regular,2,11,True
-,-,-,barline.return-to-top,2,11,True
measure 3,-,-,-,-,-,-
half.noBeam.up.pos2,3,0,16th.start.up.pos0,3,0,True
quarter.noBeam.up.pos0,3,1,16th.continue.up.pos-3,3,1,True
duration.dot.pos0,3,1,16th.continue.up.pos-2,3,2,True
eighth.noBeam.up.pos-1,3,2,16th.continue.up.pos-1,3,3,True
barline.regular,3,2,16th.continue.up.pos0,3,4,True
half.noBeam.up.pos-2,3,0,16th.stop.up.pos1,3,5,True
accid.natural.pos-3,3,1,16th.start.up.pos2,3,6,True
half.noBeam.up.pos-3,3,1,16th.continue.up.pos-1,3,7,True
barline.regular,3,1,16th.continue.up.pos0,3,8,True
half.noBeam.up.pos-1,3,0,16th.continue.up.pos1,3,9,True
half.noBeam.up.pos0,3,1,16th.continue.up.pos2,3,10,True
barline.regular,3,1,16th.stop.up.pos3,3,11,True
whole.noBeam.up.pos0,3,0,barline.regular,3,11,True
barline.regular,3,0,16th.start.up.pos0,3,0,True
barline.return-to-top,3,0,16th.continue.up.pos-3,3,1,True
-,-,-,16th.continue.up.pos-2,3,2,True
-,-,-,16th.continue.up.pos-1,3,3,True
-,-,-,16th.continue.up.pos0,3,4,True
-,-,-,16th.stop.up.pos1,3,5,True
-,-,-,16th.start.up.pos2,3,6,True
-,-,-,16th.continue.up.pos-1,3,7,True
-,-,-,16th.continue.up.pos0,3,8,True
-,-,-,16th.continue.up.pos1,3,9,True
-,-,-,16th.continue.up.pos2,3,10,True
-,-,-,16th.stop.up.pos3,3,11,True
-,-,-,barline.regular,3,11,True
-,-,-,16th.start.down.pos6,3,0,True
-,-,-,16th.continue.down.pos3,3,1,True
-,-,-,16th.continue.down.pos4,3,2,True
-,-,-,16th.continue.down.pos5,3,3,True
-,-,-,16th.continue.down.pos6,3,4,True
-,-,-,16th.stop.down.pos7,3,5,True
-,-,-,16th.start.down.pos8,3,6,True
-,-,-,16th.continue.down.pos5,3,7,True
-,-,-,16th.continue.down.pos6,3,8,True
-,-,-,16th.continue.down.pos7,3,9,True
-,-,-,16th.continue.down.pos8,3,10,True
-,-,-,16th.stop.down.pos9,3,11,True
-,-,-,barline.regular,3,11,True
-,-,-,16th.start.down.pos5,3,0,True
-,-,-,16th.continue.down.pos2,3,1,True
-,-,-,16th.continue.down.pos3,3,2,True
-,-,-,16th.continue.down.pos4,3,3,True
-,-,-,16th.continue.down.pos5,3,4,True
-,-,-,16th.stop.down.pos6,3,5,True
-,-,-,16th.start.down.pos7,3,6,True
-,-,-,16th.continue.down.pos4,3,7,True
-,-,-,16th.continue.down.pos5,3,8,True
-,-,-,16th.continue.down.pos6,3,9,True
-,-,-,16th.continue.down.pos7,3,10,True
-,-,-,16th.stop.down.pos8,3,11,True
-,-,-,barline.regular,3,11,True
-,-,-,barline.return-to-top,3,11,True
measure 4,-,-,-,-,-,-
half.noBeam.up.pos-2,4,0,16th.start.down.pos4,4,0,True
rest.quarter,4,1,16th.continue.down.pos2,4,1,True
quarter.noBeam.up.pos2,4,2,16th.continue.down.pos3,4,2,True
barline.regular,4,2,16th.continue.down.pos4,4,3,True
half.noBeam.up.pos-5,4,0,16th.continue.down.pos5,4,4,True
rest.half,4,1,16th.stop.down.pos6,4,5,True
barline.regular,4,1,16th.start.down.pos7,4,6,True
half.noBeam.up.pos-1,4,0,16th.continue.down.pos4,4,7,True
rest.half,4,1,16th.continue.down.pos5,4,8,True
barline.regular,4,1,16th.continue.down.pos6,4,9,True
half.noBeam.up.pos-4,4,0,16th.continue.down.pos7,4,10,True
rest.half,4,1,16th.stop.down.pos8,4,11,True
barline.regular,4,1,barline.regular,4,11,True
barline.return-to-top,4,1,16th.start.down.pos4,4,0,True
-,-,-,16th.continue.down.pos2,4,1,True
-,-,-,16th.continue.down.pos3,4,2,True
-,-,-,16th.continue.down.pos4,4,3,True
-,-,-,16th.continue.down.pos5,4,4,True
-,-,-,16th.stop.down.pos6,4,5,True
-,-,-,16th.start.down.pos7,4,6,True
-,-,-,16th.continue.down.pos4,4,7,True
-,-,-,16th.continue.down.pos5,4,8,True
-,-,-,16th.continue.down.pos6,4,9,True
-,-,-,16th.continue.down.pos7,4,10,True
-,-,-,16th.stop.down.pos8,4,11,True
-,-,-,barline.regular,4,11,True
-,-,-,16th.start.down.pos10,4,0,True
-,-,-,16th.continue.down.pos8,4,1,True
-,-,-,16th.continue.down.pos9,4,2,True
-,-,-,16th.continue.down.pos10,4,3,True
