"Step","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/norm_recall","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/norm_recall__MIN","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/norm_recall__MAX","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/norm_recall","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/norm_recall__MIN","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/norm_recall__MAX","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/norm_recall","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/norm_recall__MIN","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/norm_recall__MAX","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/norm_recall","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/norm_recall__MIN","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/norm_recall__MAX","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/norm_recall","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/norm_recall__MIN","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/norm_recall__MAX","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/norm_recall","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/norm_recall__MIN","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/norm_recall__MAX","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/norm_recall","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/norm_recall__MIN","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/norm_recall__MAX"
"0","0.8095584368907214","0.8095584368907214","0.8095584368907214","0.8087981970406043","0.8087981970406043","0.8087981970406043","0.8227348865831337","0.8227348865831337","0.8227348865831337","0.7855238389737499","0.7855238389737499","0.7855238389737499","0.8193613481416836","0.8193613481416836","0.8193613481416836","0.8101741347917054","0.8101741347917054","0.8101741347917054","0.7851506451337862","0.7851506451337862","0.7851506451337862"
"1","0.917958454637702","0.917958454637702","0.917958454637702","0.9093060326949653","0.9093060326949653","0.9093060326949653","0.8933634770376836","0.8933634770376836","0.8933634770376836","0.8767411194187489","0.8767411194187489","0.8767411194187489","0.9091913860551056","0.9091913860551056","0.9091913860551056","0.8973620706332316","0.8973620706332316","0.8973620706332316","0.8893403195750482","0.8893403195750482","0.8893403195750482"
"2","0.944336067400457","0.944336067400457","0.944336067400457","0.9356754557240659","0.9356754557240659","0.9356754557240659","0.9403817744738693","0.9403817744738693","0.9403817744738693","0.8938329059166433","0.8938329059166433","0.8938329059166433","0.9323299019832769","0.9323299019832769","0.9323299019832769","0.9305716555813506","0.9305716555813506","0.9305716555813506","0.9433999919434082","0.9433999919434082","0.9433999919434082"
"3","0.9481046191335255","0.9481046191335255","0.9481046191335255","0.9470824998342042","0.9470824998342042","0.9470824998342042","0.9528867007582086","0.9528867007582086","0.9528867007582086","0.9439680464128197","0.9439680464128197","0.9439680464128197","0.9498457101949708","0.9498457101949708","0.9498457101949708","0.9579922793601212","0.9579922793601212","0.9579922793601212","0.9473868521434776","0.9473868521434776","0.9473868521434776"
"4","0.9587772766213263","0.9587772766213263","0.9587772766213263","0.9463317127631623","0.9463317127631623","0.9463317127631623","0.9587702040944369","0.9587702040944369","0.9587702040944369","0.9416748251349893","0.9416748251349893","0.9416748251349893","0.9527352692068601","0.9527352692068601","0.9527352692068601","0.9549079720239112","0.9549079720239112","0.9549079720239112","0.9544171079282343","0.9544171079282343","0.9544171079282343"
"5","0.9623443776129895","0.9623443776129895","0.9623443776129895","0.9548431836332393","0.9548431836332393","0.9548431836332393","0.9574370733960046","0.9574370733960046","0.9574370733960046","0.9649671409385262","0.9649671409385262","0.9649671409385262","0.9595554742073875","0.9595554742073875","0.9595554742073875","0.9620739971936417","0.9620739971936417","0.9620739971936417","0.9633940677711005","0.9633940677711005","0.9633940677711005"
"6","0.9617535412819268","0.9617535412819268","0.9617535412819268","0.9629229138994457","0.9629229138994457","0.9629229138994457","0.9652932219398248","0.9652932219398248","0.9652932219398248","0.9476326115553619","0.9476326115553619","0.9476326115553619","0.9560171431187943","0.9560171431187943","0.9560171431187943","0.9594119155828972","0.9594119155828972","0.9594119155828972","0.9643094223095351","0.9643094223095351","0.9643094223095351"
"7","0.963042296004809","0.963042296004809","0.963042296004809","0.9637618949668698","0.9637618949668698","0.9637618949668698","0.9639154227530718","0.9639154227530718","0.9639154227530718","0.9440306068162014","0.9440306068162014","0.9440306068162014","0.9630734036183554","0.9630734036183554","0.9630734036183554","0.9658796380261527","0.9658796380261527","0.9658796380261527","0.964042188303487","0.964042188303487","0.964042188303487"
"8","0.9624393543350612","0.9624393543350612","0.9624393543350612","0.9648146075814652","0.9648146075814652","0.9648146075814652","0.9671763655183241","0.9671763655183241","0.9671763655183241","0.9510441663143421","0.9510441663143421","0.9510441663143421","0.9626689071358451","0.9626689071358451","0.9626689071358451","0.9718604872607188","0.9718604872607188","0.9718604872607188","0.9684765641112834","0.9684765641112834","0.9684765641112834"
"9","0.964474974063017","0.964474974063017","0.964474974063017","0.9599268821217826","0.9599268821217826","0.9599268821217826","0.9665769103854795","0.9665769103854795","0.9665769103854795","0.9579142245519823","0.9579142245519823","0.9579142245519823","0.9635383439918955","0.9635383439918955","0.9635383439918955","0.970683647590217","0.970683647590217","0.970683647590217","0.9645952859339068","0.9645952859339068","0.9645952859339068"
